Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aruba;ABW;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30823,4825;32222,65817;32986,54188;34336,55396;35984,82942;35780,72283;35125,92711;36479,94184;36105,26018;35495,24857;37241,0305;38123,34238;37309,78795;37353,55868;39713,84667;39166,13379;39146,90934;39866,7156;40096,78145;34978,00914;33639,39618;34446,85689;33815,10934;35720,69811;35467,23576;36490,52446;37043,69815;38865,1882;40706,74951;40780,51657;33155,24309;38866,33328;
Africa Eastern and Southern;AFE;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3036,33272;2954,698144;2823,057859;2737,031148;2714,501984;2763,565251;2837,699058;2885,496976;2867,097462;2872,697273;2896,170594;2927,090133;2964,981839;2984,885215;3074,455911;3184,171207;3309,18226;3439,42084;3500,345632;3429,780047;3513,493485;3558,462483;3543,82903;3593,39702;3643,014398;3658,718776;3654,773597;3659,361146;3661,769172;3648,708762;3455,516252;3517,766966;
Afghanistan;AFG;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1280,463171;1292,333437;1260,060581;1352,320627;1366,993146;1528,344578;1556,844452;1823,742614;2026,163818;1961,096317;2122,830759;2165,340915;2144,449634;2108,714173;2101,422187;2096,093111;2060,698973;2079,921861;1968,341002;1516,305667;
Africa Western and Central;AFW;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2784,035243;2746,636946;2739,716114;2640,657953;2571,005965;2557,357361;2607,641636;2649,475544;2671,493332;2644,524414;2666,631785;2729,48729;2903,451454;2978,439433;3123,990106;3213,464535;3292,661836;3375,241593;3487,092369;3594,93373;3732,626445;3807,251965;3897,075331;4021,244799;4141,765663;4143,120964;4050,295948;4045,303263;4063,464359;4092,028643;3957,755694;4013,718352;
Angola;AGO;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5768,564612;5635,166453;5136,550379;3783,114367;3713,103256;4131,882725;4537,859119;4708,279298;4770,142609;4719,449116;4708,360977;4747,827745;5219,633976;5195,30731;5565,58084;6178,327112;6648,758481;7309,319864;7832,889809;7613,781167;7691,131265;7664,439975;8012,100845;8100,385154;8183,678371;7967,103871;7488,138837;7216,061373;6878,593482;6602,423657;6032,274914;5908,570045;
Albania;ALB;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4827,04346;3496,381037;3264,831413;3598,822013;3921,62777;4471,616297;4908,948414;4400,327116;4819,083561;5474,867783;5892,601424;6441,461722;6753,903234;7154,018749;7580,152855;8040,107619;8568,5777;9150,146685;9912,180822;10313,93537;10749,50151;11052,81401;11227,98705;11361,28957;11586,85526;11878,47637;12291,88218;12770,98786;13317,11689;13653,22677;13253,7578;14516,31435;
Andorra;AND;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9530,502752;9569,215438;9789,405444;9783,746917;9796,244688;9821,027905;10031,42322;10230,81142;10516,82467;10481,4753;10902,05226;10844,39089;10667,57809;10952,03785;11631,3972;11988,08064;12365,76486;12589,30539;12940,6772;12668,38131;12935,19657;13064,69884;13520,22932;13563,2601;13673,8568;13923,92867;14134,9327;14052,54691;14125,79136;14042,27123;13192,85214;13469,76057;
United Arab Emirates;ARE;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105893,6261;101048,6962;99106,79164;95524,45692;97475,98085;99510,35068;99602,61742;100956,7065;95185,30582;92368,81326;96835,88883;93106,20213;90661,72515;93989,95985;98342,23663;96188,12801;92323,56278;79468,99547;68909,61026;57094,78615;54664,61174;57815,17026;59949,24458;62354,8232;64334,09155;68076,63589;71244,58581;71182,37071;71550,55433;71782,15384;67668,28664;69733,79378;
Argentina;ARG;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14136,5254;15209,48763;16190,51071;17282,96499;18046,89292;17303,92385;18031,54819;19261,89862;19773,17637;18884,94311;18524,80961;17514,5041;15439,74463;16631,57398;17950,15128;19338,14619;20679,2431;22316,25553;22992,39018;21413,28312;23521,27018;24647,62927;24118,86752;24424,13645;23550,09906;23933,88661;23189,52745;23597,11775;22747,24166;22071,7481;19685,21587;21527,19614;
